Sentence,Score
"Вынуждены констатировать, что в отчетном периоде произошли несчастные случаи. Несколько сотрудников получили сильные травмы и увечья. Часть инцидентов имела летальный исход.",-1
Риск для компании - это недостаточная мотивация сотрудников. Она ведет к  снижению производительности и снижению объема выпускаемой продукции.,-1
Риск для компании - это неэффективная система обучения персонала. Она сказывается на производительности и уменьшает продуктивность персонала.,-1
"Ухудшение дисциплины и управляемости ухудшает результаты компании в долгосрочной перспективе, ведет к снижению производственных показателей, может причинять убытки.",-1
Замедление и снижение эффективности производственных процессов негативно сказывается на производительности компании. Этот риск могут вызывать ряд негативных факторов.,-1
"Риск для компании – это низкая скорость принятия и реализации решений. Это ведет к замедлению операционной деятельности, к задержкам и потерям во времени.",-1
Реализация рисков окажет негативное влияние на рейтинги и нанесет репутационный ущерб. Снижение позиции в рейтингах может снизить привлекательность компании для инвесторов.,-1
"Дефицит квалифицированных кадров и отток ключевых сотрудников нанесет большой ущерб человеческому капиталу компании, снизит ее эффективность, негативно скажется на результатах.",-1
"Социальная напряженность и неудовлетворенность сотрудников снизит привлекательность компании как работодателя, приведет к дефициту ключевых кадров.",-1
"Нарушение информационной безопасности в результате действия или бездействия персонала, компьютерные атаки злоумышленников угрожают информационной стабильности компании, несут риски потери конфиденциальнных данных. Их реализация крайне отрицательно скажется на репутации компании",-1
"Нарушение в работе информационных систем, автоматизированных рабочих мест и автоматизированных систем управления технологическими процессами могут привести к необратимым последствиям, вызвать непредвиденные кризисные ситуации.",-1
"Финансовый ущерб компании, который может быть нанесен действиями недобросовестных конкурентов или кризисом отрасли, крайне негативно скажется на ожиданиях инвесторов.",-1
Разглашение и хищение конфиденциальной информации очень негативно скажется на репутации компании.,-1
Несанкционированная модификация и удаление информации негативно скажется на компании,-1
"Штрафы и претензии со стороны регуляторов, иски со стороны физических лиц, уголовная ответственность и дисквалификация руководителей крайне негативно скажутся на репутации",-1
"Нанесение экономического ущерба вследствие злоупотреблений персонала, внутрикорпоративного мошенничества, коррупции крайне негативно скажется на долгосрочных результатах компании",-1
Нанесение экономического ущерба вследствие неправомерных действий контрагентов приведет к серьезным проблемам,-1
Ненадлежащее исполнение договорных обязательств ведет к ухудшению ситуации в компании,-1
Неблагонадежность контрагентов приводит к сбоям в поставках и негативно отражается на компании,-1
"Недобросовестная конкуренция ведет к ухудшению результатов компании, ухудшению ее положения",-1
Недостаточное качество проверки контрагентов ведет к риску неблагонадежности и проблем в долгосрочном периоде,-1
Заключение договоров на заведомо невыгодных условиях крайне нежелательно для компании,-1
Преступные намерения работников могут привести к ущербу для компании,-1
Подкуп работников в интересах третьих лиц отрицательно скажется на компании,-1
"Ненадлежащее исполнение должностных обязанностей работниками приведет к срыву планов компании, что негативно скажется на результатах",-1
"Неэффективное руководство не сможет обеспечить выполнения поставленных целей, что отрицательно повлияет на положение компании и ухудшит ее развитие",-1
Отсутствие контрольных процедур отрицательно отразится на производительности труда,-1
Наличие конфликта интересов может приводить к заведомо невыгодным соглашениям и коррупционным рискам,-1
Ухудшение производственной дисциплины работников крайне негативно отразится на результатах компании,-1
